name,description,price
Laptop Pro,High-performance laptop with 16GB RAM,1299.99
Wireless Mouse,Ergonomic wireless mouse with USB receiver,29.99
Mechanical Keyboard,RGB mechanical gaming keyboard,89.99
4K Monitor,27-inch 4K UHD monitor,399.99
USB-C Hub,7-in-1 USB-C hub with HDMI and Ethernet,49.99
Webcam HD,1080p HD webcam with built-in microphone,79.99
Desk Lamp,LED desk lamp with adjustable brightness,34.99
Office Chair,Ergonomic office chair with lumbar support,249.99
Standing Desk,Electric height-adjustable standing desk,499.99
Noise Cancelling Headphones,Premium noise cancelling over-ear headphones,299.99
Portable SSD,1TB portable solid state drive,129.99
Wireless Charger,Fast wireless charging pad for smartphones,24.99
Phone Stand,Adjustable aluminum phone stand,19.99
Cable Organizer,Desktop cable management system,14.99
Laptop Sleeve,Protective laptop sleeve 15-inch,29.99
External Battery,20000mAh portable power bank,39.99
Bluetooth Speaker,Waterproof portable Bluetooth speaker,59.99
Smart Watch,Fitness tracking smartwatch with GPS,199.99
Tablet,10-inch tablet with 128GB storage,349.99
Docking Station,Universal laptop docking station,149.99
